Country,continent,refugees,Population
Turkey,Asia,2724937,78742000
Lebanon,Asia,1500000,5988000
Jordan,Asia,1265000,9664910
Germany,Europe,600000,82175700
Greece,Europe,496119,10858018
Saudi Arabia,Asia,420000,31015999
Macedonia,Europe,400000,2071278
Serbia,Europe,313314,7076372
Iraq,Asia,1139000,37883543
United Arab Emirates,Asia,242000,9856000
Kuwait,Asia,155000,4183658
Egypt,Africa,117702,91627900
Sweden,Europe,110333,9920881
Hungary,Europe,72505,9823000
Canada,North America,56376,36536000
Croatia,Europe,55000,4190669
Algeria,Africa,43000,40400000
Qatar,Asia,40000,2401598
Austria,Europe,39131,8741753
Netherlands,Europe,31963,17050700
Libya,Africa,26672,6385000
Denmark,Europe,19433,5724456
Bulgaria,Europe,17527,7153784
Armenia,Asia,17000,2995100
Belgium,Europe,15951,11323925
Norway,Europe,13993,5236826
Singapore,Asia,13856,5535000
Switzerland,Europe,12931,8341600
France,Europe,11694,66763000
Brazil,South America,9000,206692000
United Kingdom,Europe,9467,65110000
Spain,Europe,8365,46438422
United States,North America,7123,324539000
Russia,Asia,5000,146654366
Malaysia,Asia,5000,31767000
Australia,Australia,4500,24195600
Tunisia,Africa,4000,11154400
Cyprus,Europe,3527,847000
Bahrain,Asia,3500,1404900
Montenegro,Europe,2975,621810
Italy,Europe,2538,60665551
Romania,Europe,2525,19760000
Malta,Europe,1222,429344
Somalia,Africa,1312,11079000
Finland,Europe,1127,5495830
Palestine,Asia,1000,4816503